Frequency (Hz)	Level (dB)
7407.421875	-64.361206
7450.488281	-65.564194
7493.554688	-66.938942
7536.621094	-66.619713
7579.687500	-66.494896
7622.753906	-66.845795
7665.820313	-67.567848
7708.886719	-67.003204
7751.953125	-66.735626
7795.019531	-64.595673
7838.085938	-64.836075
7881.152344	-63.759819
7924.218750	-62.287418
7967.285156	-61.561993
8010.351563	-59.960453
8053.417969	-59.028378
8096.484375	-57.646736
8139.550781	-56.358189
8182.617188	-56.257092
8225.683594	-55.970512
8268.750000	-55.876740
8311.816406	-55.662048
8354.882813	-55.345394
8397.949219	-56.903057
8441.015625	-59.131123
8484.082031	-59.938957
8527.148438	-60.717442
8570.214844	-60.068020
8613.281250	-60.327625
8656.347656	-59.885239
8699.414063	-60.305214
8742.480469	-60.820679
8785.546875	-61.733158
8828.613281	-61.551487
8871.679688	-61.690380
8914.746094	-61.394928
8957.812500	-60.340992
9000.878906	-61.953777
9043.945313	-62.488373
9087.011719	-62.693401
9130.078125	-63.824871
9173.144531	-64.207657
9216.210938	-64.339378
9259.277344	-63.008148
9302.343750	-62.078999
9345.410156	-61.390213
9388.476563	-61.365166
9431.542969	-61.079021
9474.609375	-61.133556
9517.675781	-60.963100
9560.742188	-60.143646
9603.808594	-59.761814
9646.875000	-59.140324
9689.941406	-58.845116
9733.007813	-57.655434
9776.074219	-59.124432
9819.140625	-60.471287
9862.207031	-62.156033
9905.273438	-62.772575
9948.339844	-61.944973
9991.406250	-61.913429
10034.472656	-61.344971
10077.539063	-61.874908
10120.605469	-63.381710
10163.671875	-64.937531
10206.738281	-66.025620
10249.804688	-67.676476
10292.871094	-68.369102
10335.937500	-68.386192
10379.003906	-69.723175
10422.070313	-69.769508
10465.136719	-69.190842
10508.203125	-68.834282
10551.269531	-69.460793
10594.335938	-70.389343
10637.402344	-69.796989
10680.468750	-70.206947
10723.535156	-70.416153
10766.601563	-69.542046
10809.667969	-69.725441
10852.734375	-69.475182
10895.800781	-69.676147
10938.867188	-68.475586
10981.933594	-68.648216
11025.000000	-69.324821
11068.066406	-70.532822
11111.132813	-70.641388
11154.199219	-70.006737
11197.265625	-69.612518
11240.332031	-69.774178
11283.398438	-69.475266
11326.464844	-69.373413
11369.531250	-69.810448
11412.597656	-69.300545
11455.664063	-68.901489
11498.730469	-68.719795
