Frequency (Hz)	Level (dB)
5426.367188	-43.228024
5469.433594	-42.011177
5512.500000	-42.675751
5555.566406	-41.897808
5598.632813	-42.827950
5641.699219	-42.603371
5684.765625	-39.235889
5727.832031	-37.163837
5770.898438	-39.661190
5813.964844	-41.161217
5857.031250	-42.315399
5900.097656	-45.853580
5943.164063	-46.937077
5986.230469	-46.766331
6029.296875	-46.071507
6072.363281	-45.623447
6115.429688	-43.342999
6158.496094	-41.963169
6201.562500	-43.723366
6244.628906	-45.521801
6287.695313	-44.662556
6330.761719	-44.461842
6373.828125	-45.194679
6416.894531	-46.146553
6459.960938	-45.030029
6503.027344	-46.936729
6546.093750	-48.323250
6589.160156	-48.607918
6632.226563	-49.795746
6675.292969	-48.703518
6718.359375	-47.767063
6761.425781	-46.173882
6804.492188	-43.763046
6847.558594	-44.979252
6890.625000	-48.739609
6933.691406	-48.281609
6976.757813	-48.316425
7019.824219	-50.552124
7062.890625	-50.190987
7105.957031	-49.607841
7149.023438	-49.650833
7192.089844	-50.429874
7235.156250	-50.446999
7278.222656	-50.373665
7321.289063	-49.414906
7364.355469	-48.806320
7407.421875	-49.745682
7450.488281	-50.235580
7493.554688	-50.600479
7536.621094	-50.757629
7579.687500	-50.122593
7622.753906	-51.131424
7665.820313	-50.768379
7708.886719	-50.233963
7751.953125	-50.215733
7795.019531	-50.004608
7838.085938	-49.109398
7881.152344	-50.821609
7924.218750	-49.698025
7967.285156	-48.281170
8010.351563	-49.297562
8053.417969	-49.567467
8096.484375	-48.432152
8139.550781	-50.033676
8182.617188	-49.639881
8225.683594	-50.079147
8268.750000	-49.815361
8311.816406	-49.952244
8354.882813	-50.764771
8397.949219	-50.953453
8441.015625	-50.781429
8484.082031	-51.580902
8527.148438	-51.036835
8570.214844	-51.088066
8613.281250	-51.701431
8656.347656	-52.740238
8699.414063	-54.589607
8742.480469	-55.375019
8785.546875	-55.882061
8828.613281	-55.838909
8871.679688	-55.040756
8914.746094	-54.917130
8957.812500	-54.879032
9000.878906	-54.558720
9043.945313	-53.153065
9087.011719	-52.951935
9130.078125	-53.561615
9173.144531	-54.398819
9216.210938	-55.001316
9259.277344	-55.520061
9302.343750	-55.495953
9345.410156	-55.644085
9388.476563	-56.081924
9431.542969	-56.018356
9474.609375	-55.955784
9517.675781	-57.738327
9560.742188	-59.651333
9603.808594	-59.834064
9646.875000	-60.449604
9689.941406	-59.781975
9733.007813	-59.623489
9776.074219	-60.251869
9819.140625	-59.945282
9862.207031	-60.257004
9905.273438	-61.230900
9948.339844	-61.624577
9991.406250	-59.540714
10034.472656	-59.202339
10077.539063	-59.399330
10120.605469	-57.621170
10163.671875	-55.950073
10206.738281	-55.950176
10249.804688	-55.872417
10292.871094	-56.314339
10335.937500	-56.828732
10379.003906	-57.271088
10422.070313	-57.875511
10465.136719	-57.165970
10508.203125	-57.441914
10551.269531	-58.869820
10594.335938	-58.576332
10637.402344	-58.125744
10680.468750	-59.031029
10723.535156	-60.664494
10766.601563	-62.145161
10809.667969	-62.721588
10852.734375	-62.415375
10895.800781	-61.795414
10938.867188	-61.898415
10981.933594	-61.934700
11025.000000	-61.527317
11068.066406	-60.832111
11111.132813	-60.390850
11154.199219	-60.113506
11197.265625	-59.778763
11240.332031	-58.665836
11283.398438	-58.158314
11326.464844	-57.830025
11369.531250	-57.201416
11412.597656	-57.598839
11455.664063	-57.902245
11498.730469	-57.782307
11541.796875	-57.753433
11584.863281	-56.331310
11627.929688	-55.440563
11670.996094	-55.431198
11714.062500	-55.628880
11757.128906	-55.402084
11800.195313	-54.795311
11843.261719	-54.539742
11886.328125	-54.996738
11929.394531	-55.198421
11972.460938	-55.408276
12015.527344	-56.293388
12058.593750	-56.340126
12101.660156	-56.125092
12144.726563	-55.619835
12187.792969	-55.635365
12230.859375	-56.110111
12273.925781	-56.074032
12316.992188	-55.580067
12360.058594	-55.520699
12403.125000	-55.039265
